insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
76580,Saint-Georges-sur-Fontaine,76,28,457.45,51015.6,,10.7603,,True,665.839,15.662,,True,2263.25,,9,112.799,Confortable,False,4.74,False,,,False,2,,
76581,Saint-Germain-des-Essourts,76,28,457.45,43176.2,,12.714,,True,665.839,18.5057,,True,3182.48,,4,67.8915,Correct,False,4.74,False,,,False,2,,
76582,Saint-Germain-d'Étables,76,28,469.308,38498.1,,14.6285,,True,698.249,21.7647,,True,1775.7,,5,108.494,Confortable,False,4.74,False,,,False,2,,
76583,Saint-Germain-sous-Cailly,76,28,457.45,46273.6,,11.8629,,True,713.373,18.4997,,True,1716.05,,3,134.94,Confortable,False,4.74,False,,,False,2,,
76584,Saint-Germain-sur-Eaulne,76,28,457.45,36312,,15.1173,,True,618.215,20.4301,,True,1454.55,,5,124.928,Confortable,False,4.74,False,,,False,2,,
76585,Saint-Gilles-de-Crétot,76,28,513.969,41627.6,,14.8162,,True,616.649,17.7762,,True,1416.67,,7,147.045,Confortable,False,4.74,False,,,False,2,,
76586,Saint-Gilles-de-la-Neuville,76,28,514.241,45816.1,,13.4688,,True,756.894,19.8243,,True,2282,,16,100.471,Confortable,True,4.74,False,,False,False,3,0,
76587,Sainte-Hélène-Bondeville,76,28,467.257,40426.3,,13.8699,,True,669.439,19.8714,,True,1978.24,,5,102.264,Confortable,False,4.74,False,,,False,2,,
76588,Saint-Hellier,76,28,422.383,36176.3,,14.0108,,True,618.215,20.5068,,True,1871.43,,8,96.7359,Confortable,False,4.74,False,,,False,2,,
76589,Saint-Honoré,76,28,469.308,40517.6,,13.8994,,True,698.249,20.6799,,True,2560.98,,3,79.1726,Correct,False,4.74,False,,,False,2,,
76590,Saint-Jacques-d'Aliermont,76,28,422.383,38801.2,,13.063,,True,636.229,19.6766,,True,1440.68,,7,134.777,Confortable,False,4.74,False,,,False,2,,
76591,Saint-Jacques-sur-Darnétal,76,28,495.963,46766.5,31008.9,12.7261,19.193,True,777.805,19.958,30.0999,True,2525.77,,49,92.6568,Confortable,True,4.74,False,False,False,False,3,0,0
76592,Saint-Jean-de-Folleville,76,28,475.7,43224.4,,13.2064,,True,757.541,21.0309,,True,2010.64,,20,107.58,Confortable,True,4.74,False,,False,False,3,0,
76593,Saint-Jean-de-la-Neuville,76,28,475.7,45181.6,,12.6343,,True,661.259,17.5627,,True,2101.96,,6,107.566,Confortable,False,4.74,False,,,False,2,,
76594,Saint-Jean-du-Cardonnay,76,28,478.656,45514.6,,12.6198,,True,786.16,20.7272,,True,2277.37,,41,100.012,Confortable,True,4.74,False,,False,False,3,0,
76595,Saint-Jouin-Bruneval,76,28,514.241,46162.1,,13.3679,,True,858.898,22.3274,,True,2452.23,12351.8,41,94.2024,Confortable,True,4.74,False,,False,False,3,0,
76596,Saint-Laurent-de-Brèvedent,76,28,565.944,47510.9,,14.2943,,True,756.894,19.1172,,True,2259.71,,19,105.215,Confortable,True,4.74,False,,False,False,3,0,
